,Team,Conf.,Current Elo,Last,Season Min.,Season Max.,Home Court*
324,Tennessee Tech,OVC,1227.005,-11 🟠@@-10.81286621,1203.117,1334.831,58.38938
325,Grambling,SWAC,1226.048,+22 🟢@@21.89294434,1152.952,1365.208,34.45121
326,Houston Christian,Southland,1222.995,-14 🟠@@-13.62854004,1098.652,1313.453,54.87096
327,Army,Patriot,1221.139,-26 🟠@@-25.60791016,1203.089,1356.694,17.65211
328,Alcorn St.,SWAC,1216.646,-13 🟠@@-13.34240723,1177.253,1289.675,68.26485
329,Lindenwood,OVC,1215.118,-15 🟠@@-14.76904297,1126.779,1229.887,58.01187
330,Stonehill,NSEC,1212.503,-21 🟠@@-20.66540527,1113.1,1296.529,58.56881
331,Coastal Carolina,Sun Belt,1211.559,-10 🟠@@-10.00378418,1171.331,1337.171,54.38076
332,Western Illinois,OVC,1207.15,+58 🟢@@58.03259277,1084.09,1396.757,35.97791
333,Holy Cross,Patriot,1202.183,-4 🟠@@-3.703369141,1202.183,1342.663,35.66083
334,Morehead St.,OVC,1199.702,-20 🟠@@-19.99438477,1169.845,1483.926,65.19403
335,Central Arkansas,A-Sun,1196.075,-2 🟠@@-1.875,1150.359,1249.75,43.87151
336,Wagner,NSEC,1193.891,-6 🟠@@-6.053466797,1172.614,1354.697,38.25693
337,Howard,MEAC,1191.275,-7 🟠@@-7.490478516,1174.222,1383.797,42.32076
338,Oral Roberts,Summit,1190.872,-18 🟠@@-18.42687988,1190.438,1348.333,67.2235
339,Bellarmine,A-Sun,1183.763,-4 🟠@@-3.748291016,1078.018,1286.526,54.44215
340,Cal State Fullerton,Big West,1178.674,-3 🟠@@-3.100952148,1178.674,1424.943,37.98074
341,Stetson,A-Sun,1172.985,-15 🟠@@-14.51013184,1172.985,1421.271,33.2084
342,Louisiana Monroe,Sun Belt,1169.803,-8 🟠@@-7.785400391,1129.308,1363.074,52.07668
343,North Carolina A&T,CAA,1169.544,-14 🟠@@-14.15490723,1150.277,1297.073,68.70435
344,NJIT,ASEC,1163.826,+26 🟢@@25.5168457,1134.484,1262.333,44.83005
345,West Georgia,A-Sun,1153.234,+16 🟢@@15.70324707,1137.531,1323.479,57.97354
346,Buffalo,MAC,1148.922,-1 🟠@@-1.186645508,1114.427,1240.3,42.61111
347,South Carolina Upstate,Big South,1144.555,-20 🟠@@-19.64208984,1143.565,1324.243,40.10044
348,Detroit Mercy,Horizon,1143.754,-5 🟠@@-5.0546875,1143.754,1311.638,61.36964
349,Southern Indiana,OVC,1131.646,-3 🟠@@-2.880737305,1084.62,1298.929,56.81306
350,Canisius,MAAC,1126.168,-5 🟠@@-5.322998047,1126.168,1384.361,37.09101
351,Green Bay,Horizon,1124.093,-4 🟠@@-4.360717773,1076.361,1432.699,56.69256
352,The Citadel,Southern,1123.461,-11 🟠@@-11.27282715,1123.461,1410.257,7.37766
353,East Texas A&M,Southland,1118.711,+16 🟢@@15.68334961,1074.823,1234.133,54.60409
354,Sacramento St.,Big Sky,1116.535,-15 🟠@@-15.30444336,1116.535,1318.864,29.28055
355,Northern Illinois,MAC,1116.118,+27 🟢@@26.74890137,1089.37,1345.21,33.55772
356,Le Moyne,NSEC,1097.525,-2 🟠@@-2.181762695,1097.525,1297.263,58.49522
357,MD Eastern Shore,MEAC,1095.022,-2 🟠@@-1.757324219,1040.946,1221.83,35.9884
358,Coppin St.,MEAC,1082.096,-3 🟠@@-2.530639648,1054.979,1128.526,47.45585
359,Chicago St.,NSEC,1075.354,-3 🟠@@-2.842163086,1075.354,1286.342,23.43822
360,Alabama A&M,SWAC,1071.524,-26 🟠@@-25.60266113,1071.524,1260.215,53.5517
361,Arkansas-Pine Bluff,SWAC,1042.777,-7 🟠@@-6.621948242,982.8447,1195.789,29.84069
362,New Orleans,Southland,1039.203,-4 🟠@@-4.080078125,1039.203,1207.092,47.2566
363,Prairie View A&M,SWAC,1008.721,-6 🟠@@-6.479919434,1008.721,1203.909,40.91382
364,Mississippi Valley St.,SWAC,834.8709,-1 🟠@@-1.48046875,834.8709,1046.829,59.94234
